zone_0,zone_1,zone_2
0.2571428571428571,0.3076923076923077,0.5
0.2571428571428571,0.23076923076923078,0.5666666666666667
0.2571428571428571,0.3076923076923077,0.5333333333333333
0.2857142857142857,0.23076923076923078,0.5666666666666667
0.2857142857142857,0.3076923076923077,0.5333333333333333
0.3142857142857143,0.3076923076923077,0.5333333333333333
0.3142857142857143,0.38461538461538464,0.5
0.3142857142857143,0.46153846153846156,0.5
0.3142857142857143,0.46153846153846156,0.5
0.34285714285714286,0.46153846153846156,0.5
0.3142857142857143,0.38461538461538464,0.5333333333333333
0.3142857142857143,0.38461538461538464,0.5666666666666667
0.3142857142857143,0.38461538461538464,0.5666666666666667
0.37142857142857144,0.23076923076923078,0.5666666666666667
0.37142857142857144,0.3076923076923077,0.5333333333333333
0.4,0.38461538461538464,0.5
0.37142857142857144,0.38461538461538464,0.4666666666666667
0.4,0.38461538461538464,0.4666666666666667
0.37142857142857144,0.38461538461538464,0.43333333333333335
0.4,0.3076923076923077,0.4666666666666667
0.37142857142857144,0.38461538461538464,0.4
0.4,0.3076923076923077,0.43333333333333335
0.37142857142857144,0.38461538461538464,0.36666666666666664
0.37142857142857144,0.38461538461538464,0.4
0.34285714285714286,0.46153846153846156,0.3333333333333333
0.37142857142857144,0.38461538461538464,0.36666666666666664
0.34285714285714286,0.46153846153846156,0.3
0.34285714285714286,0.38461538461538464,0.36666666666666664
0.3142857142857143,0.46153846153846156,0.3
0.37142857142857144,0.3076923076923077,0.3333333333333333
0.34285714285714286,0.38461538461538464,0.26666666666666666
0.34285714285714286,0.3076923076923077,0.3333333333333333
0.2857142857142857,0.23076923076923078,0.36666666666666664
0.2571428571428571,0.23076923076923078,0.43333333333333335
0.2571428571428571,0.15384615384615385,0.4
0.22857142857142856,0.15384615384615385,0.4666666666666667
0.2,0.23076923076923078,0.4
0.2571428571428571,0.07692307692307693,0.43333333333333335
0.2571428571428571,0.15384615384615385,0.4
0.22857142857142856,0.15384615384615385,0.4666666666666667
0.22857142857142856,0.23076923076923078,0.43333333333333335
0.2571428571428571,0.23076923076923078,0.43333333333333335
0.2571428571428571,0.23076923076923078,0.43333333333333335
0.2571428571428571,0.23076923076923078,0.4666666666666667
0.2571428571428571,0.23076923076923078,0.4666666666666667
0.2857142857142857,0.15384615384615385,0.5
0.2857142857142857,0.15384615384615385,0.5
0.2857142857142857,0.23076923076923078,0.5
0.2857142857142857,0.23076923076923078,0.5
0.3142857142857143,0.23076923076923078,0.5
0.2857142857142857,0.3076923076923077,0.5
0.3142857142857143,0.3076923076923077,0.5
0.3142857142857143,0.3076923076923077,0.5
0.3142857142857143,0.38461538461538464,0.5
0.34285714285714286,0.3076923076923077,0.5
0.37142857142857144,0.3076923076923077,0.5
0.37142857142857144,0.3076923076923077,0.4666666666666667
0.37142857142857144,0.38461538461538464,0.4666666666666667
0.4,0.3076923076923077,0.4666666666666667
0.4,0.23076923076923078,0.5
0.4,0.15384615384615385,0.5
0.37142857142857144,0.15384615384615385,0.5333333333333333
0.37142857142857144,0.07692307692307693,0.5333333333333333
0.34285714285714286,0.07692307692307693,0.5666666666666667
0.34285714285714286,0.07692307692307693,0.5333333333333333
0.34285714285714286,0.07692307692307693,0.5333333333333333
0.34285714285714286,0.0,0.5333333333333333
0.3142857142857143,0.0,0.5666666666666667
0.2857142857142857,0.0,0.5666666666666667
0.2857142857142857,0.0,0.5666666666666667
0.2857142857142857,0.0,0.5333333333333333
0.2857142857142857,0.0,0.5333333333333333
0.2857142857142857,0.0,0.5
0.2857142857142857,0.0,0.5
0.2857142857142857,0.0,0.4666666666666667
0.2571428571428571,0.0,0.5
0.2571428571428571,0.0,0.4666666666666667
0.2571428571428571,0.0,0.4666666666666667
0.2571428571428571,0.0,0.43333333333333335
0.22857142857142856,0.0,0.43333333333333335
0.2,0.0,0.4
0.2,0.0,0.36666666666666664
0.17142857142857143,0.0,0.3333333333333333
0.17142857142857143,0.0,0.3
0.14285714285714285,0.0,0.26666666666666666
0.14285714285714285,0.0,0.23333333333333334
0.11428571428571428,0.0,0.2
0.11428571428571428,0.0,0.16666666666666666
0.11428571428571428,0.0,0.13333333333333333
0.08571428571428572,0.0,0.13333333333333333
0.08571428571428572,0.0,0.1
0.05714285714285714,0.0,0.1
0.05714285714285714,0.0,0.06666666666666667
0.05714285714285714,0.0,0.06666666666666667
0.05714285714285714,0.0,0.03333333333333333
0.05714285714285714,0.0,0.03333333333333333
0.02857142857142857,0.0,0.03333333333333333
0.0,0.0,0.06666666666666667
0.0,0.0,0.03333333333333333
0.0,0.0,0.03333333333333333
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
